Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
org.opensaml:opensaml-storage-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-storage-api:5.1.3,gav://org.opensaml:opensaml-storage-api,5.1.3
org.opensaml:opensaml-xacml-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-xacml-api:4.3.0,gav://org.opensaml:opensaml-xacml-api,4.3.0
org.opensaml:opensaml-xacml-impl,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-xacml-impl:4.3.0,gav://org.opensaml:opensaml-xacml-impl,4.3.0
org.opensaml:opensaml-xacml-saml-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-xacml-saml-api:4.3.0,gav://org.opensaml:opensaml-xacml-saml-api,4.3.0
org.opensaml:opensaml-xacml-saml-impl,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-xacml-saml-impl:4.3.0,gav://org.opensaml:opensaml-xacml-saml-impl,4.3.0
org.opensaml:opensaml-xmlsec-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-xmlsec-api:5.1.3,gav://org.opensaml:opensaml-xmlsec-api,5.1.3
org.opensaml:opensaml-xmlsec-impl,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.opensaml:opensaml-xmlsec-impl:5.1.3,gav://org.opensaml:opensaml-xmlsec-impl,5.1.3
org.slf4j:jcl-over-slf4j,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.slf4j:jcl-over-slf4j:2.0.16,gav://org.slf4j:jcl-over-slf4j,2.0.16
org.slf4j:jul-to-slf4j,MIT,http://www.opensource.org/licenses/MIT,maven,org.slf4j:jul-to-slf4j:2.0.16,gav://org.slf4j:jul-to-slf4j,2.0.16
org.slf4j:slf4j-api,MIT,http://www.opensource.org/licenses/MIT,maven,org.slf4j:slf4j-api:2.0.16,gav://org.slf4j:slf4j-api,2.0.16
org.springframework.boot:spring-boot,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot:3.4.1,gav://org.springframework.boot:spring-boot,3.4.1
org.springframework.boot:spring-boot-actuator,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-actuator:3.4.1,gav://org.springframework.boot:spring-boot-actuator,3.4.1
org.springframework.boot:spring-boot-actuator-autoconfigure,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-actuator-autoconfigure:3.4.1,gav://org.springframework.boot:spring-boot-actuator-autoconfigure,3.4.1
org.springframework.boot:spring-boot-autoconfigure,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-autoconfigure:3.4.1,gav://org.springframework.boot:spring-boot-autoconfigure,3.4.1
org.springframework.boot:spring-boot-starter,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter:3.4.1,gav://org.springframework.boot:spring-boot-starter,3.4.1
org.springframework.boot:spring-boot-starter-actuator,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-actuator:3.4.1,gav://org.springframework.boot:spring-boot-starter-actuator,3.4.1
org.springframework.boot:spring-boot-starter-data-jpa,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-data-jpa:3.4.1,gav://org.springframework.boot:spring-boot-starter-data-jpa,3.4.1
org.springframework.boot:spring-boot-starter-jdbc,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-jdbc:3.4.1,gav://org.springframework.boot:spring-boot-starter-jdbc,3.4.1
org.springframework.boot:spring-boot-starter-json,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-json:3.4.1,gav://org.springframework.boot:spring-boot-starter-json,3.4.1
org.springframework.boot:spring-boot-starter-logging,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-logging:3.4.1,gav://org.springframework.boot:spring-boot-starter-logging,3.4.1
org.springframework.boot:spring-boot-starter-security,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.boot:spring-boot-starter-security:3.4.1,gav://org.springframework.boot:spring-boot-starter-security,3.4.1
